key,value
title,"Traditional Kolam Mask Painting"
description,"Experience the ancient art of Sri Lankan devil-dancing mask creation through interactive digital painting"
tradition,"Sanni Yakuma and Kolam Folk Theatre"
historicalOrigin,"Pre-Buddhist animistic traditions (2000+ years old)"
primaryRegion,"Southern Province - Ambalangoda, Mirissa, Matara"
masterCraftsmen,"Nawandanna caste hereditary artists"
culturalThemes,"Healing rituals and psychological therapy|Spiritual protection and exorcism|Folk theatre and storytelling|Buddhist-Hindu-Animistic synthesis|Community health and wellbeing"
educationalObjectives,"Understanding traditional healing practices|Mastering symbolic color usage|Appreciating intangible cultural heritage|Learning mask iconography and meaning|Recognizing psychological aspects of ritual healing"
maskTypes,"Sanni Yakuma:Disease demon masks:18 types representing specific illnesses|Kolam:Folk drama characters:Mix of demons, animals, and humans|Raksha:Fierce guardian demons:Protective spirits with supernatural powers"
paintingTechniques,"Base coat application|Feature outlining|Color layering|Detail work|Sacred symbol painting"